CODE,Title,Year,Primary Objective,Secondary Objectives,Beneficiaries,Creative Approach,Financial Resources,Business Model,Human Resources,Entity Types,Competences,ICH Domain,ICH Elements,Data Source,Data Type,Capturing Technologies,Representation Technologies,Digitization Output,Dissemination Technologies,Fruition Output
21,Omni Chang’An Site Concept Show,2022-2023,"[""Remix and reinterpretation"",""Celebration"",""Preservation""]","[""Artistic innovation"",""Cultural tourism promotion""]","[""Local communities"",""Stage designers"",""Tourists"",""Cultural institutions"",""Cultural tourists"",""General public"",""Dancers and actors"",""Performing artists"",""Tech providers"",""Cultural tourists"",""Theaters"",""Creative producers"",""Policy makers"",""Schools""]","[""Animation"",""Storytelling""]","[""Public-Private Partnership""]","[""Ticketed Revenue Model""]","[""Chief Coordinator"",""Operations Director"",""Lighting Instructor"",""Stage Manager"",""Associated Director"",""Performance Coordinator"",""Literary Screenwriter"",""Chief Producer"",""Director & Funding partner"",""Producer"",""Technical Director"",""Chief Director"",""Business Coordinator"",""Visual Designer"",""Chief Stage Designer"",""Chief Lighting Designer"",""Chief Projection Designer"",""Chief Styling Designer""]","[""Innovative Cultural & Technological Performing Arts Industry Group""]","[""Backstage and cue management"",""Budget and resource management"",""Business partnerships and sponsorship"",""Costume knowledge"",""Cross-departmental coordination"",""Lighting concept creation"",""Lighting design implementation training"",""Operational coordination of live performance logistics"",""Projection mapping design for immersive experience"",""Scriptwriting and narrative adaptation"",""Stage spatial and functional design""]","[""Social practices, rituals and festive events""]","[""Cultural travel performance"",""Traditional culture""]","[""Qinqiang opera"",""Puppets"",""Cultural symbols"",""Traditional Chinese shadow puppetry""]","[""Motion data"",""Pictures"",""Text"",""Object/artefact""]","[""NA""]","[""Multimedia processing and production technologies""]","[""Multimedia contents inspired to traditional ICH culture and symbols""]","[""Kinetic technologies"",""Projection mapping technologies""]","[""Immersive live performance"",""Dedicated physical events""]"
22,Tempio del Brunello,2021,"[""Preservation"",""Celebration"",""Visibility and reputation"",""Edutainment""]","[""Edutainment"",""Cultural tourism promotion""]","[""Regional stakeholders"",""Tourists"",""Enthusiasts"",""ICH Curious"",""Enthusiasts"",""General public"",""Cultural practitioners"",""Cultural institutions""]","[""Storytelling"",""Animation"",""Bespoke exhibiting""]","[""Public-Private Partnership""]","[""Ticketed Revenue Model""]","[""Cultural Event Coordinator"",""Video Producer"",""Content Producer"",""Heritage Site Manager"",""Multimedia Technician"",""Oenologist / Wine Expert"",""Exhibition Designer"",""Interaction Designer"",""Installation Artist"",""App Developer"",""VR/AR Developer"",""Cultural Policy Advisor""]","[""Historical site / Cultural heritage site"",""Cultural Heritage Laboratory and Events Organizer"",""Multimedia Interactive Experiences Design Group"",""Wine producers' consortium / Trade association"",""Religious organization"",""Local government / public administration""]","[""AI/AR/VR development and integration for immersive experience"",""Content strategy"",""Cultural event organization"",""Cultural policy"",""Exhibition design"",""Historical site management"",""Interaction design"",""Interactive Installations"",""Mobile app design and development"",""Video Production"",""Winemaking expertise""]","[""Knowledge and practices concerning nature and the universe"",""Traditional craftsmanship""]","[""Winemaking"",""Alcoholic beverages"",""Food production""]","[""Archival resources"",""Interviews"",""Historical documents""]","[""Pictures"",""Text"",""Audio""]","[""2D image acquisition technologies"",""Audio recording"",""Video recording""]","[""Multimedia processing and production technologies""]","[""Digitized collection of historical and contemporary images, videos""]","[""Mobile App"",""NFC (Near Field Communication)"",""Virtual Reality (VR)"",""Interactive Displays"",""Projection Mapping technologies"",""Sensors"",""Augmented Reality (AR)""]","[""Dedicated heritage place"",""Interactive exhibition""]"
23,Renai Dance Animation,2019-2021,"[""Remix and reinterpretation"",""Preservation"",""Celebration""]","[""Cross-cultural integration"",""Cross-generation transmission of ICH""]","[""Educators"",""General public"",""Younger generations"",""Families"",""Art audiences"",""Cultural practitioners"",""Enthusiasts""]","[""Storytelling""]","[""Academic Institutional Support""]","[""B2B""]","[""Sound Track Composer"",""Computer Graphic Artist"",""Creative Director"",""Creative Producer"",""Sound Designer""]","[""Composer"",""Computer graphic artist"",""Narrative visual artist"",""Producer"",""Sound designer""]","[""Audio / Sound design"",""Computer graphic artist"",""Creative coordination"",""Digital music composition and audio production for multimedia""]","[""Performing arts"",""Social practices, rituals and festive events""]","[""Choreography"",""Costumes"",""Dance"",""Rituals"",""Transmission"",""Apprenticeship"",""Emotions"",""Exchange""]","[""Western ballet choreography"",""Chinese lion dancing performances"",""Cultural symbols""]","[""Pictures"",""Video"",""Oral knowledge""]","[""NA""]","[""Visual Effects software"",""3D animation software"",""Digital embroidery tool"",""3D modeling software"",""Rendering software""]","[""3D animated characters""]","[""Videomaking software"",""Narrative development software""]","[""Digital campaign"",""ICH-inspired artefact""]"
24,ReCollection,2023,"[""Preservation"",""Reimagination of collective memory"",""Lost/Endangered/Undocumented Recovery""]","[""Cultural reproduction"",""Cultural representation""]","[""Care communities"",""Art audiences"",""Cultural practitioners"",""General public"",""Artists"",""Memory institutions""]","[""Materialization"",""Participation""]","[""Academic Institutional Support""]","[""B2B""]","[""AI Research Scientist"",""AI Technical Director"",""New Media Artist""]","[""AI Research Scientist"",""AI Expert"",""Research Center / Academic & Creative Innovation Hub"",""New Media Artist / Researcher / Designer"",""Institutional Funding / Academic Research Investment""]","[""AI system design"",""Exhibition design"",""Multimedia programming""]","[""Individual and collective memory"",""Oral traditions and expressions""]","[""Cultural identity"",""Oral history"",""Storytelling"",""Collective memory"",""Community participation""]","[""Documentaries"",""Visual memories"",""Oral narratives""]","[""Video"",""Audio""]","[""Video recording"",""Audio recording""]","[""Machine Learning"",""Text-to-Image model"",""NLP - Natural Language Processing""]","[""System turning speech into textual prompts and images""]","[""Projection mapping technologies"",""Generative AI"",""Voice-activated system""]","[""Dedicated physical events"",""AI-generated content"",""Interactive installation""]"
25,Synthetic Memories,2022,"[""ICH stakeholders connection"",""Preservation"",""Lost/Endangered/Undocumented Recovery"",""Reimagination of collective memory""]","[""Intergenerational connection"",""Therapeutic applications"",""Inclusivity"",""Documentation""]","[""Local city communities"",""Researchers and Scholars"",""Audiences in non-traditional cultural settings (e.g., prisons, rural areas, schools)"",""Cultural institutions"",""Mental health professionals"",""People with dementia"",""Policy makers"",""Migrant and refugee communities"",""Migrant and refugee communities"",""Families""]","[""Animation"",""Materialization"",""Participation"",""Memory elicitation""]","[""Public-Private Partnership""]","[""Free Access Model""]","[""AI Catalyst"",""Technical Lead"",""Manager Assistant"",""Sound Designer"",""General Manager"",""Creative"",""Product Designer"",""Project Manager"",""Accountant"",""Journalist & Creative"",""Head of Digital"",""Operations Director & Partner"",""Digital Designer"",""Visual Designer"",""Project Manager"",""Director & Funding partner"",""Front-End Developer"",""Head of Design & Production"",""Producer"",""Cultural Exchange & Social Integration"",""Community Engagement Manager""]","[""Social Impact / Education & Creativity Organization"",""Tech & Cultural Platform / Funding Organization"",""Government Agency / Cultural Promotion & Funding"",""Social Impact / Gender & Inclusion Organization"",""Non-Profit / Cultural Exchange & Social Integration Organization"",""Investment / Funding Organization"",""Creative studio"",""Social Impact / Community Development Organization""]","[""AI tool implementation"",""Client relationship management"",""Community and stakeholder engagement"",""Creative ideation and concept development"",""Cross-functional team leadership"",""Design process and production workflow management"",""Facilitating intercultural collaboration"",""Immersive sound design"",""(Digital) Content design"",""Narrative development and storytelling"",""Strategic leadership"",""Organizational leadership and partnership management"",""Physical space and product design integration"",""Production planning and execution"",""Project management"",""Stakeholder alignment"",""Technical architecture and platform integration"",""UX / UI Design""]","[""Individual and collective memory"",""Oral traditions and expressions""]","[""Cultural identity"",""Storytelling"",""Oral history"",""Collective memory"",""Community participation""]","[""Undocumented memories"",""Community storytelling sessions"",""Personal narratives""]","[""Oral knowledge""]","[""Text editing software""]","[""Generative AI""]","[""Digitally reconstructed visual memories"",""Memory textual prompt""]","[""Generative AI""]","[""Dedicated physical events"",""Participatory initiative"",""Dedicated heritage place"",""AI-generated content""]"
26,Lisbon Under Stars,2018,"[""Celebration"",""Preservation"",""Edutainment""]","[""Community engagement"",""Cultural tourism promotion""]","[""Policy makers"",""Tourists"",""Cultural institutions"",""General public"",""Local communities""]","[""Storytelling"",""Animation""]","[""Public-Private Partnership""]","[""Ticketed Revenue Model""]","[""Dancers"",""Artistic Director"",""Musicians"",""Project Manager"",""Technical Director"",""Narrator"",""Video Mapping and Interactive Projections"",""Sound Designer"",""Historian"",""Choreographer"",""Urban Artists"",""Documentation provider""]","[""Museum / Archive"",""Video Mapping and Interactive Projections Firm"",""Former Convent"",""Dance Schools and Choreographers""]","[""Archival material sourcing and content licensing"",""Creative ideation and concept development"",""Dance choreography and movement direction"",""Production coordination and scheduling"",""Audio / Sound post-production (mixing & mastering)"",""Musical composition and live/recorded performance"",""Narrative voice performance"",""Historical research"",""Projection mapping design for immersive experience"",""Visual art contributions (e.g., murals, graffiti integration)""]","[""Institutional and community values"",""Oral traditions and expressions""]","[""Cultural identity"",""Collective memory"",""Oral history"",""Storytelling"",""Public history""]","[""Historical documentation"",""Archival materials from local museums"",""Portuguese music"",""ICH live performances""]","[""Pictures"",""Video"",""Audio""]","[""Audio recording"",""2D image acquisition technologies"",""Video recording""]","[""Multimedia processing tools""]","[""Curated audiovisual content""]","[""Projection mapping technologies""]","[""Immersive live performance"",""Dedicated physical events"",""Dedicated virtual events ""]"
27,Craftal,2019,"[""Visibility and reputation"",""Promotion"",""Economic sustainability"",""Preservation""]","[""Promoting sustainable consumption"",""Facilitating Artisan-Chef Collaboration"",""Enhancing cultural appreciation""]","[""General public"",""Cultural practitioners"",""Service providers"",""Restaurants"",""Tradition bearers""]","[""Matchmaking"",""Participation""]","[""Self-Funded""]","[""Subscription-Based Revenue Model""]","[""Strategic planner"",""Project Manager"",""Platform curator"",""Project Manager"",""Ceramicist"",""Platform designer""]","[""Business Design Company""]","[""Business strategy"",""Creative and operational leadership"",""Product design"",""Project management"",""Traditional ceramics crafting and production"",""UX / UI Design""]","[""Traditional craftsmanship""]","[""Ceramic arts"",""Apprenticeship"",""Craft workers"",""Clay"",""Fire"",""Technical skills"",""Ceramics""]","[""Expert Know-how"",""Traditional Japanese craft tableware""]","[""Object/artefact""]","[""Text"",""Pictures""]","[""Database technologies""]","[""Digital inventory of Japanese craft tableware""]","[""Web platform""]","[""Network platform""]"
28,RISE UP - Revitalising Languages and Safeguarding Cultural Diversity,2023-2026,"[""Stakeholders connection"",""Empowerment"",""Revitalization"",""Lost/Endangered/Undocumented Recovery""]","[""Community engagement"",""Resource sharing"",""Policy advocacy""]","[""Endangered local communities"",""Citizens"",""Learners"",""Researchers and Scholars""]","[""Crowdsourcing"",""Matchmaking"",""Participation""]","[""Publicly Funded European Union Project""]","[""Free Access Model""]","[""Community Engagement Manager"",""Language Revitalization Specialist"",""Gamification Designer"",""Digital Platform Developer"",""Project Manager"",""Communication Officer"",""Educational Content Developer""]","[""Video Game Development Studio / Interactive Entertainment"",""Educational Institution / Research University"",""Cultural Institution / Art Gallery / Educational Platform"",""Non-Profit / Youth Organization"",""Creative Agency"",""Innovation consultancy""]","[""Co-design facilitation"",""Design  of language preservation strategies"",""Game-based learning tools development"",""Platform mainteinance"",""Project management"",""Promotion of events, competitions, and platform visibility"",""Design of language learning materials""]","[""Oral traditions and expressions""]","[""Linguistics"",""Spoken Languages"",""Endangered languages"",""Oral history"",""Languages"",""Cultural identity"",""Collective memory""]","[""Endangered language documentation"",""Community-generated content"",""Oral histories""]","[""Audio"",""Text""]","[""NA""]","[""Database technologies""]","[""Database and data structure to allow people to add entries to the platform""]","[""Wiki-based platform"",""Web platform""]","[""Network platform""]"
29,Bamboo Weaving Mold,2024,"[""Open resource creation"",""Democratization"",""Knowledge transfer""]","[""Economic sustainability"",""Skill development and capacity building""]","[""Local communities"",""Learners""]","[""Archetyping"",""Facilitation""]","[""NA""]","[""NA""]","[""Bamboo Weaving Practitioners"",""Software Developers"",""Educators""]","[""Educational Institution / Research University""]","[""AI tool implementation"",""Software interface development for pattern customization"",""Traditional bamboo weaving techniques""]","[""Traditional craftsmanship""]","[""Technical skills"",""Weaving"",""Craft workers"",""Bamboo"",""Handicrafts"",""Apprenticeship"",""Textile art""]","[""Craft Know-how"",""Bamboo weaving patterns""]","[""Templates and Measures"",""Object/artefact""]","[""CAD software""]","[""Pattern generation software""]","[""Digital archive of patterns"",""Disposable weaving paper molds""]","[""Paper printing""]","[""Digital tools""]"
30,"Urban Media Archive, [unarchiving] program",2022,"[""Reimagination of collective memory"",""Preservation"",""Democratization"",""Community empowerment"",""Knowledge transfer""]","[""Public engagement"",""Artistic collaboration"",""Educational outreach""]","[""Archives"",""Local communities"",""Filmmakers"",""Cultural institutions"",""Artists""]","[""Participation"",""Remix""]","[""Donor support""]","[""Free Access Model""]","[""Social anthropologist"",""Project Manager"",""Sociologist"",""Architect"",""Sociologist"",""Digital History Archivist"",""Digital History Architecture editor"",""Founder & CEO"",""Philosopher"",""Historian"",""Director & Funding partner"",""Head of Educational projects"",""Communication Officer"",""System administrator"",""Office and building administrator"",""Translator"",""Office manager"",""Financial manager"",""Digital Designer"",""Accountant"",""Premises management assistant"",""Administrative manager"",""Technical assistant"",""Academic coordinator"",""IT manager, web developer, and programmer"",""Financial assistant"",""Deputy director""]","[""Archive and Research Centre""]","[""Archive management and metadata standards"",""Cataloguing and archival description"",""Critical reflection on archival theory and ethics"",""Cultural ethnographic research"",""Digital scanning"",""Educational program development"",""Facilities management and operational support"",""Financial reporting"",""IT systems maintenance and server administration"",""Project management"",""Project scheduling and resource coordination"",""Public communication and outreach"",""Spatial and architectural documentation analysis"",""Technical support for equipment and software"",""User-centered design"",""Web platform development"",""Historical research"",""Social analysis of urban history narratives""]","[""Institutional and community values"",""Social practices, rituals and festive events""]","[""Public history"",""Archive"",""Oral traditions"",""Oral history"",""Everyday life"",""Community participation"",""Community action""]","[""Urban-related documents"",""Oral histories"",""Multimedia content""]","[""Text"",""Video"",""Pictures"",""Audio""]","[""2D image acquisition technologies"",""Annotation system""]","[""Database technologies"",""Archival systems""]","[""Digitized urban history archive""]","[""NA""]","[""Digital archive"",""Dedicated physical events""]"
31,Swapmuseun,2016,"[""Edutainment"",""Community empowerment"",""Youth engagement"",""Knowledge transfer"",""Stakeholders connection""]","[""Cultural accessibility"",""Skill development and capacity building""]","[""Local communities"",""General public"",""Museums"",""Cultural institutions"",""Schools"",""Younger generations""]","[""Matchmaking"",""Participation""]","[""Hybrid Funding Model""]","[""Free Access Model""]","[""Audience Developer"",""Tutors"",""Business Analyst"",""Facilitator"",""Project Manager"",""Community Engagement Manager"",""Social Media Manager""]","[""Museum FabLab / Makerspace and Co-working"",""Social Cooperative (Social Services and Cultural Activities)"",""Cultural and Innovation Hub / Community Space"",""Cultural and Social Non-Profit Association""]","[""Audience development"",""Digital storytelling"",""Impact Evaluation"",""Mentoring and facilitation"",""Project management"",""Community and stakeholder engagement""]","[""Institutional and community values"",""Oral traditions and expressions""]","[""Everyday life"",""Student participation"",""Community action""]","[""Documentaries"",""Pictures"",""Historical finds"",""Interviews"",""Archival resources""]","[""Text"",""Pictures"",""Video""]","[""Text editing software"",""Video recording"",""2D image acquisition technologies""]","[""NA""]","[""Collection of images, videos, and stories related to the museum and the local community""]","[""Media technologies"",""Social Media""]","[""Digital tools"",""Participatory initiative""]"
32,Comuniterràe,2017,"[""Documentation"",""Community mapping"",""Celebration"",""Community empowerment"",""Cultural identity preservation""]","[""Local community engagement"",""Reinforcing community identity"",""Cultural revitalization""]","[""Local communities"",""Policy makers""]","[""Participation"",""Storytelling""]","[""Hybrid Funding Model""]","[""Free Access Model""]","[""Project Manager"",""Map Illustrator / Designer"",""Community Facilitator"",""Cultural Heritage Specialist"",""Communication Officer""]","[""Non-profit Association / Cultural, Research and Educational Organization"",""Community Foundation"",""National park"",""Governmental Agency / Regional Government"",""Community / Local Population""]","[""Participatory project coordination"",""Visual storytelling"",""Community and stakeholder engagement"",""Cultural heritage documentation"",""Public communication and outreach""]","[""Social practices, rituals and festive events"",""Oral traditions and expressions"",""Individual and collective memory""]","[""Community action"",""Memories"",""Festivals"",""Cultural identity"",""Food production"",""Myths""]","[""Oral knowledge"",""Photographs"",""Local histories"",""Community traditions"",""Festivals""]","[""Pictures"",""Oral knowledge"",""Text""]","[""2D image acquisition technologies""]","[""Database technologies"",""Annotation system"",""Vector graphic software""]","[""Digital archive of pictures, stories, knowledge related to the community costums""]","[""Web platform""]","[""Participatory initiative"",""Digital archive""]"
33,Tacit Dialogues,2019-2022,"[""Research"",""Remix and reinterpretation"",""Remix and reinterpretation"",""Preservation""]","[""Public engagement"",""Artistic collaboration""]","[""Learners"",""Artisans"",""General public"",""Researchers and Scholars""]","[""Materialization"",""Translation""]","[""Hybrid Funding Model""]","[""Free Access Model""]","[""Researcher"",""Art Historian"",""Glass Producer"",""Glass Producer"",""Product Designer"",""Glass Producer"",""Visual Artist"",""Visual and Sound Artist""]","[""Public-access Glassmaking Studio"",""Visual and sound artist"",""Berlin-based contemporary artist"",""Berlin-based designer"",""Artistic associate at Weißensee School of Art and Design"",""Berlin-based Design Lab"",""Berlin-based product designer, art historian and researcher"",""Glass sculptor""]","[""Art historical interpretation"",""Audio-visual media creation"",""Glass sculpture design"",""Glassblowing expertise"",""Product design"",""Research and data analysis"",""Visual storytelling""]","[""Traditional craftsmanship""]","[""Engraving"",""Craft workers"",""Fire"",""Glass art"",""Technical skills"",""Silver"",""Apprenticeship"",""Traditional tools"",""Creativity"",""Silver"",""Engraving""]","[""Artisan movements"",""Glassblowing live performances"",""Sound and visual interactions""]","[""Audio"",""Motion data"",""Visual data""]","[""Audio recording"",""Motion detection systems"",""Video recording""]","[""Motion data analysis tools"",""Visual processing software"",""Sound analysis software""]","[""Motion data of glassblowing techniques"",""Visual and sonic data archives""]","[""Motion Graphic Software"",""3D printing""]","[""ICH-inspired artefact""]"
34,Cyberknitics,2016,"[""Experimentation"",""Remix and reinterpretation""]","[""Community engagement"",""Artistic innovation""]","[""Makers"",""Artisans""]","[""Magnification"",""Translation"",""Synesthesia""]","[""Self-Funded""]","[""NA""]","[""Knitter / Developer""]","[""Graphic Designer"",""Creative Technologist""]","[""Coding and programming"",""Physical computing""]","[""Traditional craftsmanship""]","[""Technical skills"",""Craft workers"",""Handicrafts"",""Apprenticeship"",""Knitting"",""Textile art"",""Technical tools""]","[""Artisan movements"",""Knitting gestures""]","[""Motion data""]","[""Microcontrollers"",""Motion capture system""]","[""Motion data translation systems"",""Arduino"",""Audio processing tools""]","[""Syncronized electronic system turning movements into sound""]","[""Motion-activated system"",""Microcontroller"",""Microphones""]","[""Immersive live performance""]"
35,Kaarigari,2020,"[""Preservation"",""Celebration"",""Visibility and reputation""]","[""Visibility and recognition"",""Contemporary design integration""]","[""General public"",""Artisans"",""Local communities""]","[""Translation"",""Materialization""]","[""Institutional support""]","[""NA""]","[""Textile Digital manufacturer"",""Designer"",""Hand-block Printing Artisan""]","[""Museum / Maker laboratory / Cultural Promotion & Funding"",""Mumbai-born Designer"",""Hand-block Printing Artisan""]","[""Digital textile production and fabrication"",""Pattern design and visual composition"",""Traditional Printing Techniques""]","[""Traditional craftsmanship""]","[""Handicrafts"",""Craft workers"",""Technical skills"",""Apprenticeship"",""Wood"",""Engraving"",""Wood working"",""Textile art"",""Technical tools"",""Drawing""]","[""Traditional patterns"",""Block printing techniques"",""Artisan movements""]","[""Motion data""]","[""Photography"",""Motion detection systems"",""Video recording""]","[""Motion analysis tools"",""Pattern generation software""]","[""Motion data clouds of block printing"",""Digitized patterns""]","[""Digital pattern making software"",""Textile digital manufacturing""]","[""ICH-inspired artefact""]"
36,La Baguette stamp,2024,"[""Celebration""]","[""Public engagement"",""Promotion of national identity""]","[""ICH Curious"",""Enthusiasts"",""National inhabitants"",""Collectors"",""Tourists""]","[""Materialization"",""Synesthesia""]","[""Publicly Funded""]","[""B2C""]","[""Technology expert"",""Distributor"",""Illustrator""]","[""Typography"",""Illustrator"",""National Postal Company"",""Microencapsulation Technologies company""]","[""Digital illustration and visual asset creation"",""Logistics and distribution management"",""Microencapsulation""]","[""Traditional craftsmanship"",""Social practices, rituals and festive events""]","[""Bread"",""Social inclusion"",""Contests"",""Apprenticeship"",""Creativity"",""Everyday life"",""Fermentation"",""Flour"",""Food customs"",""Food preparation"",""Handicrafts"",""Oven"",""Stick"",""Technical skills""]","[""Historical references"",""Bread smell"",""Cultural symbols (baguette)""]","[""Visual design"",""Scent data"",""Object/artefact""]","[""Microencapsulation scent technologies""]","[""Vector graphic software""]","[""Digital illustration and cooked break microencapsulated scent""]","[""Scratch and sniff printing Technologies""]","[""ICH-inspired artefact""]"
37,Fabric Museum: TextLoom,2023,"[""Remix and reinterpretation"",""Experimentation""]","[""Interactive engagement"",""Educational outreach""]","[""Museum audience""]","[""Simulation (gesture)"",""Storytelling""]","[""Academic Institutional Support""]","[""NA""]","[""Graphic Designer"",""Museum curator"",""Researcher""]","[""Graphic Designer"",""Designers and Educators at Private Art University"",""Museum""]","[""Brand management"",""Coding and generative design""]","[""Social practices, rituals and festive events"",""Traditional craftsmanship""]","[""Craft workers"",""Technical skills"",""Handicrafts"",""Apprenticeship"",""Textile art"",""Technical tools"",""Weaving""]","[""Traditional weaving movements"",""Keywords writing movements""]","[""Motion data""]","[""Pressure sensors"",""Slider sensors""]","[""Vector graphic software"",""Generative art software"",""Integrated Development Environment (IDE) software"",""Arduino"",""Mapping technologies"",""Audio processing technologies""]","[""ICH-inspired movements"",""Syncronized electronic system turning movements into visuals and sound""]","[""Projection mapping technologies"",""Motion-activated system""]","[""Interactive exhibition""]"
38,Weaving Time,2019-2020,"[""Preservation"",""Celebration"",""Remix and reinterpretation""]","[""Edutainment"",""Interactive engagement""]","[""Museum audience""]","[""Gamification"",""Simulation""]","[""Publicly Funded""]","[""B2C""]","[""Software developer and Technical design"",""Electrical engineer"",""Lighting engineer"",""Project Manager""]","[""Archeology and History Museum"",""Museum Exhibit Manufacturer"",""Experiential Design Firm"",""Marketing Agency"",""Lighting Design Consultancy Company""]","[""Concept design"",""Exhibition design"",""Graphic design"",""Interaction design""]","[""Traditional craftsmanship""]","[""Technical skills"",""Handicrafts"",""Apprenticeship"",""Craft workers"",""Textile art"",""Technical tools"",""Weaving""]","[""Photographs of Inca textiles and costumes"",""Traditional Inca weaving patterns""]","[""Pictures"",""Metadata"",""Visual patterns""]","[""Annotation system"",""2D image acquisition technologies""]","[""Vector graphic software"",""Image editing software""]","[""Syncronized electronic system turning movements into visuals and sound"",""ICH-inspired digitized pattern tiles""]","[""Motion-activated system"",""Screen-based display""]","[""ICH-inspired artefact"",""Interactive exhibition""]"
39,Design philology,2023,"[""Visibility and reputation"",""Celebration""]","[""Interactive engagement"",""Educational outreach"",""Collaborative partnerships""]","[""Learners"",""Academic / Educational institutions"",""Local communities""]","[""Virtualization"",""Participation""]","[""Publicly Funded""]","[""Free Access Model""]","[""Project Coordinator"",""Scientific curators"",""Web platform designers"",""Communication Officer"",""Web platform developers"",""Video-testimonial designers"",""Video Producer"",""Voiceover Artist"",""Technical support teams"",""Alumni contributors""]","[""Educational Institution / Research University""]","[""Archive research and development"",""Documentation research"",""Exhibition design"",""Visual identity and branding""]","[""Institutional and community values"",""Individual and collective memory""]","[""Cultural identity"",""Collective memory"",""Storytelling"",""Oral history"",""Everyday life"",""Student participation"",""Teachers""]","[""Interviews"",""Archival resources"",""Letters"",""Historical documents"",""Institutional reports"",""Photographs"",""Historical videos"",""Drawings and sketches""]","[""Pictures"",""Text"",""Video"",""Audio""]","[""Video recording"",""2D image acquisition technologies"",""Audio recording""]","[""Archival systems"",""Database technologies"",""Vector graphic software""]","[""Curated timelines and narratives"",""Database of structured historical and contemporary data related to the Design department""]","[""Web platform""]","[""Participatory initiative"",""Digital archive""]"
40,MEMEX. MEMories and EXperiences for inclusive digital storytelling,2019-2021,"[""Stakeholders connection"",""Community empowerment"",""Accessibility"",""Social inclusion""]","[""Skill development and capacity building"",""Cultural heritage accessibility"",""Community engagement""]","[""General public"",""Marginalized communities""]","[""Facilitation"",""Crowdsourcing""]","[""Publicly Funded""]","[""Free Access Model""]","[""AR Developer"",""Data Scientist"",""Software Engineer"",""Cultural Heritage Specialist"",""Interaction Designer"",""ICT Specialist"",""Heritage Data Curator"",""App Developer"",""Community Engagement Manager"",""Project Coordinator"",""Ethnographer"",""AI Specialist"",""UX/UI Designer"",""Policy maker""]","[""Non-governmental Organization / Cultural Foundation"",""Creative Agency"",""Cultural Mediation and Education Company"",""Research Institute / Technology Research Center"",""Research and Production Agency"",""Research Institution / Public Scientific and Technological Organization"",""Non-profit Research Association"",""Educational Institution / Research University"",""Research Institute / Scientific Research Organization"",""European Cultural Network"",""Business Consulting Firm"",""Non-profit Organization / Cultural Management Center""]","[""AI/AR/VR development and integration for immersive experience"",""Data analysis"",""End-to-end software development"",""Heritage analysis"",""Interaction design"",""IT infrastructure"",""Metadata structuring and organization"",""Mobile app design and development"",""Policy analysis"",""Project management"",""Qualitative research"",""Machine learning"",""UX / UI Design""]","[""Individual and collective memory""]","[""Urban spaces"",""Collective memory"",""Monument history"",""Storytelling""]","[""Images and videos"",""User-generated stories"",""Tangible and intangible cultural heritage (CH)""]","[""Video"",""Pictures"",""Location"",""Text"",""User narratives""]","[""Text editing software"",""2D acquisition technologies"",""GPS technologies""]","[""Knowledge Graph system""]","[""Enabling infrastructure for mobile app combining geolocated information and multumedia contents""]","[""Natural Language Processing"",""Augmented Reality (AR)"",""Mobile app"",""Digital camera""]","[""Digital tools"",""Participatory initiative""]"
41,Réveil des Archives sonores,2014,"[""Remix and reinterpretation"",""Celebration"",""Remix and reinterpretation"",""Remix and reinterpretation""]","[""Artistic innovation"",""Collaborative partnerships"",""Educational outreach"",""Public engagement""]","[""Musicians"",""Enthusiasts"",""ICH Curious"",""Cultural institutions"",""General public""]","[""Remix""]","[""Publicly Funded""]","[""B2B"",""B2C""]","[""Sound archivist"",""Music Composer"",""Anthropologist"",""Ethnomusicologist"",""Sound engineer"",""Sound Designer""]","[""Ethnographic Museum / Ethnomusicology Department"",""Musicians and sound artists""]","[""Audio / Sound design"",""Audio / Sound post-production (mixing & mastering)"",""Cultural ethnographic research"",""Sound editing and manipulation""]","[""Performing arts""]","[""Music"",""Instrumental music"",""Vocal music"",""Musical performances"",""Musicology"",""Orchestras""]","[""Collection of phonograms"",""Historical metadata"",""Archival resources"",""Musical funds""]","[""Audio""]","[""Audio recording"",""Annotation system"",""Audio digitization tools""]","[""Audio processing technologies"",""Database technologies""]","[""Digitized recordings of musical traditions""]","[""Audio streaming platforms""]","[""Digital archive"",""Dedicated virtual events"",""Dedicated physical events"",""ICH-inspired artefact""]"
42,The Living Museum,2024,"[""Edutainment"",""Enhancement""]","[""Personalised curation"",""Interactive learning"",""Remote accessibility""]","[""Museums"",""Digital archivists"",""General public""]","[""Animation"",""Storytelling""]","[""Donor support""]","[""Free Access Model""]","[""AI Engineer""]",[],"[""Social agents and multi-agent simulations"",""Generative agent-based models""]","[""Social practices, rituals and festive events"",""Traditional craftsmanship"",""Individual and collective memory""]","[""Storytelling"",""Collective memory"",""History"",""Handicrafts"",""Costumes"",""Customs""]","[""The British Museum historical finds"",""Artifacts descriptions"",""Museum curators comments""]","[""Object/artefact"",""Metadata""]","[""2D image acquisition technologies"",""Annotation system""]","[""Photo-editing software"",""Database technologies""]","[""Digitized archive of historical finds and metadata""]","[""Generative AI model"",""Web platform""]","[""Virtual museum"",""Conversational agent""]"
